S.NO,GENDER,REGION,SSLC MARKS,BOARD,PUC MARKS,BOARD,CGPA,INTERNSHIP,WORK EXPERIENCE,BRANCH,PLACED/NOT PLACED
105,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, Yes, EE, Placed
106,Female, Rural,75.6, ICSE,87.6, ICSE,7.2, No, No, CV, Not Placed
107,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, Yes, IS, Placed
108,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC, Not Placed
109,Male, Urban,84.3, ICSE,85.6, ICSE,8.1, Yes,No, CS, Placed
110,Male, Rural,89.2, ICSE,89.7, ICSE,8.6, Yes, Yes, ME, Placed
111,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE, Placed
112,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS, Not Placed
113,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, Yes, CS, Placed
114,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC, Not Placed
115,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, No, ME, Not Placed
116,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, No, EE, Placed
117,Male, Urban,92.3, ICSE,94.1, ICSE,9.1, Yes, No, CS, Placed
118,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV, Not Placed
119,Male, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS, Placed
120,Male, Rural,72.6, ICSE,89.4, ICSE,7.9, No, No, ME, Not Placed
121,Male, Urban,92.8, State Board,94.7, State Board,9.1, Yes, Yes, EE, Placed
122,Female, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, Yes, EC, Placed
123,Male, Rural,82.5, State Board,86.3, State Board,8, No, Yes, CS, Placed
124,Female, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME, Not Placed
125,Male, Rural,79.6, CBSE,83.2, CBSE,7.8, No, Yes, IS, Not Placed
126,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, Yes, CS, Placed
127,Female, Rural,77.2, ICSE,85.6, ICSE,7.5, No, No, EE, Not Placed
128,Male, Rural,88.9, State Board,87.9, State Board,8.1, No, No, EC, Not Placed
129,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, No, CV, Placed
130,Female, Rural,84.7, ICSE,94.2, ICSE,8.2, Yes, No, EE, Placed
131,Male, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME, Not Placed
132,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No, No, CV, Not Placed
133,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes, No, EC, Placed
134,Male, Urban,85.4, ICSE,95.8, ICSE,8.8, Yes, No, CS, Placed
135,Female, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE, Not Placed
136,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, No, ME, Placed
137,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, No, IS, Not Placed
138,Male, Urban,86.7, ICSE,83.5, ICSE,8.9, Yes, No, CS, Placed
139,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC, Not Placed
140,Male, CBSE,78.5, State Board,85.5, ICSE,7.3, No, Yes, CS, Not Placed
141,Female, Rural,79.2, ICSE,86.7, State Board,7,No,No,CS,Not Placed
142,Male, Urban,85.2, CBSE,92.3, CBSE,7.9, Yes, Yes, ME, Placed
143,Female, Rural,76.3, State Board,80.4, State Board,7.5, No, No, IS, Not Placed
144,Male, Urban,83.4, ICSE,89.5, ICSE,8.7, Yes, Yes, CS, Placed
145,Female, Rural,69.8, State Board,75.6, State Board,6.8, No, No, CV, Not Placed
146,Male, Urban,82.7, CBSE,91.8, CBSE,8.5, Yes, Yes, EE, Placed
147,Female, Rural,78.9, State Board,86.7, State Board,7.9, No, No, ME, Not Placed
148,Male, Urban,89.3, ICSE,92.5, ICSE,8.9, Yes, No, CS, Placed
149,Female, Rural,74.7, CBSE,82.1, CBSE,7.3, No, No, IS, Not Placed
150,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes, No, CS, Placed
151,Female, Rural,78.4, State Board,85, State Board,7.8, No, No, EC, Not Placed
152,Male, Urban,92.5, ICSE,90.2, ICSE,9.1, Yes, No, IS, Placed
153,Male, Rural,83.9, State Board,81.6, State Board,7.5, No, No, ME, Not Placed
154,Female, Rural,79.3, State Board,82, State Board,8.3, Yes, No, CS, Placed
155,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, No, EE, Placed
156,Female, Rural,75.6, ICSE,87.6, ICSE,7.2, No, No, CV, Not Placed
157,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, Yes, IS, Placed
158,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC, Not Placed
159,Male, Urban,84.3, ICSE,85.6, ICSE,8.1, Yes, Yes, CS, Placed
160,Male, Rural,89.2, ICSE,89.7, ICSE,8.6, Yes, Yes, ME, Placed
161,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE, Placed
162,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS, Not Placed
163,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, Yes, CS, Placed
164,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC, Not Placed
165,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, Yes, ME, Not Placed
166,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, Yes, EE, Placed
167,Male, Urban,92.3, ICSE,94.1, ICSE,9.1, Yes, Yes, CS, Placed
168,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV, Not Placed
169,Male, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS, Placed
170,Male, Rural,72.6, ICSE,89.4, ICSE,7.9, No, No, ME, Not Placed
171,Male, Urban,92.8, State Board,94.7, State Board,9.1, Yes, No, EE, Placed
172,Female, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, No, EC, Placed
173,Male, Rural,82.5, State Board,86.3, State Board,8, No, No, CS, Placed
174,Female, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME, Not Placed
175,Male, Rural,79.6, CBSE,83.2, CBSE,7.8, No, No, IS, Not Placed
176,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, No, CS, Placed
177,Female, Rural,77.2, ICSE,85.6, ICSE,7.5, No, No, EE, Not Placed
178,Male, Rural,88.9, State Board,87.9, State Board,8.1, No, No, EC, Not Placed
179,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, No, CV, Placed
180,Female, Rural,84.7, ICSE,94.2, ICSE,8.2, Yes, No, EE, Placed
181,Male, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME, Not Placed
182,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No, Yes, CV, Not Placed
183,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes, Yes, EC, Placed
184,Male, Urban,85.4, ICSE,95.8, ICSE,8.8, Yes, Yes, CS, Placed
185,Female, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE, Not Placed
186,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, Yes, ME, Placed
187,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS, Not Placed
188,Male, Urban,86.7, ICSE,83.5, ICSE,8.9, Yes, Yes, CS, Placed
189,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC, Not Placed
190,Male, Urban,78.5, State Board,85.5, ICSE,7.3, No, Yes, CS, Not Placed
191,Female, Rural,79.2, ICSE,86.7, ICSE,7.7, No, No, EE, Not Placed
192,Male, Urban,81.3, CBSE,89.6, CBSE,8.4, Yes, Yes, ME, Placed
193,Female, Rural,73.6, State Board,79.8, State Board,7.6, No, No, IS, Not Placed
194,Male, Urban,86.2, ICSE,91.5, ICSE,8.8, Yes, Yes, CS, Placed
195,Female, Rural,68.9, State Board,74.2, State Board,7, No, No, CV, Not Placed
196,Male, Urban,79.4, CBSE,88.7, CBSE,8, Yes, Yes, EE, Placed
197,Female, Rural,76.9, State Board,83.2, State Board,7.8, No, No, ME, Not Placed
198,Male, Urban,85.1, ICSE,90.9, ICSE,8.7, Yes, Yes, CS, Placed
199,Female, Rural,72.8, CBSE,80.4, CBSE,7.9, No, Yes, IS,Placed
200,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes, Yes, CS, Placed
201,Female, Rural,78.4, State Board,85, State Board,7.8, No, Yes, EC, Not Placed
202,Male, Urban,92.5, ICSE,90.2, ICSE,9.1, Yes, Yes, IS, Placed
203,Male, Rural,83.9, State Board,81.6, State Board,7.5, No, Yes, ME, Not Placed
204,Female, Rural,79.3, State Board,82, State Board,8.3, Yes, Yes, CS, Placed
205,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, Yes, EE, Placed
206,Female, Rural,75.6, ICSE,87.6, ICSE,7.2, No, No, CV, Not Placed
207,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, Yes, IS, Placed
208,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC, Not Placed
209,Male, Urban,84.3, ICSE,85.6, ICSE,8.1, Yes, Yes, CS, Placed
210,Male, Rural,89.2, ICSE,89.7, ICSE,8.6, Yes, Yes, ME, Placed
211,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE, Placed
212,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS, Not Placed
213,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, Yes, CS, Placed
214,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC, Not Placed
215,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, No, ME, Not Placed
216,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, No, EE, Placed
217,Male, Urban,92.3, ICSE,94.1, ICSE,9.1, Yes, No, CS, Placed
218,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV, Not Placed
219,Male, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS, Placed
220,Male, Rural,72.6, ICSE,89.4, ICSE,7.9, No, No, ME, Not Placed
221,Male, Urban,92.8, State Board,94.7, State Board,9.5, Yes, No, EE, Placed
222,Female, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, No, EC, Placed
223,Male, Rural,82.5, State Board,86.3, State Board,8, No, No, CS, Placed
224,Female, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME, Not Placed
225,Male, Rural,79.6, CBSE,83.2, CBSE,7.8, No, No, IS, Not Placed
226,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, No, CS, Placed
227,Female, Rural,77.2, ICSE,85.6, ICSE,7.5, No, No, EE, Not Placed
228,Male, Rural,88.9, State Board,87.9, State Board,8.6, No, Yes, EC, Not Placed
229,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, Yes, CV, Placed
230,Female, Rural,84.7, ICSE,94.2, ICSE,8.2, Yes, Yes, EE, Placed
231,Male, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME, Not Placed
232,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No, Yes, CV, Not Placed
233,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes, Yes, EC, Placed
234,Male, Urban,85.4, ICSE,95.8, ICSE,8.8, Yes, Yes, CS, Placed
235,Female, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE, Not Placed
236,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, Yes, ME, Placed
237,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS, Not Placed
238,Male, Urban,86.7, ICSE,83.5, ICSE,8.9, Yes, Yes, CS, Placed
239,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC, Not Placed
240,Male, Urban,78.5, State Board,85.5, ICSE,7.3, No, Yes, CS, Not Placed
241,Female, Rural,79.2, ICSE,86.7, ICSE,6.4, No, No, EE, Not Placed
242,Male, Urban,81.3, CBSE,89.6, CBSE,8.4, Yes, Yes, ME, Placed
243,Female, Rural,73.6, State Board,79.8, State Board,7.6, No, No, IS, Not Placed
244,Male, Urban,86.2, ICSE,91.5, ICSE,8.8, Yes, Yes, CS, Placed
245,Female, Rural,68.9, State Board,74.2, State Board,7, No, No, CV, Not Placed
246,Male, Urban,79.4, CBSE,88.7, CBSE,8, Yes, No, EE, Placed
247,Female, Rural,76.9, State Board,83.2, State Board,7.8, No, No, ME, Not Placed
248,Male, Urban,85.1, ICSE,90.9, ICSE,8.7, Yes, No, CS, Placed
249,Female, Rural,72.8, CBSE,80.4, CBSE,7.4, No, No, IS, Not Placed
250,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes, No, CS, Placed
251,Female, Rural,78.4, State Board,85, State Board,7.8, No, No, EC, Not Placed
252,Male, Urban,92.5, ICSE,90.2, ICSE,9.1, Yes, No, IS, Placed
253,Male, Rural,83.9, State Board,81.6, State Board,7.5, No, No, ME, Not Placed
254,Female, Rural,79.3, State Board,82, State Board,8.3, Yes, No, CS, Placed
255,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, No, EE, Placed
256,Female, Rural,75.6, ICSE,87.6, ICSE,7.2, No, No, CV, Not Placed
257,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, No, IS, Placed
258,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, No, EC, Not Placed
259,Male, Urban,84.3, ICSE,85.6, ICSE,8.1, Yes, No, CS, Placed
260,Male, Rural,89.2, ICSE,89.7, ICSE,8.6, Yes, No, ME, Placed
261,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, No, EE, Placed
262,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS, Not Placed
263,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, No, CS, Placed
264,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC, Not Placed
265,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, Yes, ME, Not Placed
266,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, Yes, EE, Placed
267,Male, Urban,92.3, ICSE,94.1, ICSE,9.1, Yes, Yes, CS, Placed
268,Female, Rural,70.2, CBSE,81.3, CBSE,7.5, No, No, CV, Not Placed
269,Male, Urban,75.8, State Board,90.7, State Board,8.2, Yes, No, IS, Placed
270,Male, Rural,72.6, ICSE,89.4, ICSE,7.9, No, No, ME, Not Placed
271,Male, Urban,92.8, State Board,94.7, State Board,9.1, Yes, Yes, EE, Placed
272,Female, Urban,88.3, CBSE,96.4, CBSE,8.3, Yes, Yes, EC, Placed
273,Male, Rural,82.5, State Board,86.3, State Board,8, No, Yes, CS, Placed
274,Female, Urban,85.7, State Board,90.8, State Board,8.2, No, No, ME, Not Placed
275,Male, Rural,79.6, CBSE,83.2, CBSE,7.8, No, Yes, IS, Not Placed
276,Male, Urban,73.5, State Board,81.3, State Board,8.6, Yes, Yes, CS, Placed
277,Female, Rural,77.2, ICSE,85.6, ICSE,7.5, No, No, EE, Not Placed
278,Male, Rural,88.9, State Board,87.9, State Board,8.1, No, Yes, EC, Not Placed
279,Female, Urban,85.3, CBSE,93.8, CBSE,8.9, Yes, Yes, CV, Placed
280,Female, Rural,84.7, ICSE,94.2, ICSE,8.2, Yes, Yes, EE, Placed
281,Male, Urban,66.8, State Board,83.4, State Board,7.1, No, No, ME, Not Placed
282,Female, Rural,79.3, CBSE,90.1, CBSE,7.9, No, Yes, CV, Not Placed
283,Male, Urban,75.2, State Board,86.3, State Board,8.6, Yes, Yes, EC, Placed
284,Male, Urban,85.4, ICSE,95.8, ICSE,8.8, Yes, Yes, CS, Placed
285,Female, Rural,72.5, State Board,87.9, State Board,7.5, No, No, EE, Not Placed
286,Male, Urban,88.6, CBSE,92.4, CBSE,8.2, Yes, Yes, ME, Placed
287,Female, Rural,77.4, State Board,90.2, State Board,7.3, No, Yes, IS, Not Placed
288,Male, Urban,86.7, ICSE,83.5, ICSE,8.9, Yes, Yes, CS, Placed
289,Female, Rural,71.9, State Board,84.7, State Board,8.1, No, No, EC, Not Placed
290,Male, Urban,78.5, State Board,85.5, ICSE,7.3, No, Yes, CS, Not Placed
291,Female, Rural,79.2, ICSE,86.7, ICSE,7.7, No, No, EE, Not Placed
292,Male, Urban,81.3, CBSE,89.6, CBSE,8.4, Yes, Yes, ME, Placed
293,Female, Rural,73.6, State Board,79.8, State Board,7.6, No, No, IS, Not Placed
294,Male, Urban,86.2, ICSE,91.5, ICSE,8.8, Yes, Yes, CS, Placed
295,Female, Rural,68.9, State Board,74.2, State Board,7, No, No, CV, Not Placed
296,Male, Urban,79.4, CBSE,88.7, CBSE,8, Yes, Yes, EE, Placed
297,Female, Rural,76.9, State Board,83.2, State Board,7.8, No, No, ME, Not Placed
298,Male, Urban,85.1, ICSE,90.9, ICSE,8.7, Yes, No, CS, Placed
299,Female, Rural,72.8, CBSE,80.4, CBSE,7.4, No, No, IS, Not Placed
300,Male, Urban,87.6, CBSE,95, CBSE,8.7, Yes, No, CS, Placed
301,Female, Rural,78.4, State Board,85, State Board,7.8, No, No, EC, Not Placed
302,Male, Urban,92.5, ICSE,90.2, ICSE,9.1, Yes, No, IS, Placed
303,Male, Rural,83.9, State Board,81.6, State Board,7.5, No, Yes, ME, Not Placed
304,Female, Rural,79.3, State Board,82, State Board,8.3, Yes, Yes, CS, Placed
305,Male, Urban,88.9, CBSE,92.8, CBSE,9.4, Yes, Yes, EE, Placed
306,Female, Rural,75.6, ICSE,87.6, ICSE,7.2, No, No, CV, Not Placed
307,Male, Rural,86.4, State Board,84.1, State Board,8.8, Yes, Yes, IS, Placed
308,Female, Urban,81.9, CBSE,82.1, CBSE,7.6, No, Yes, EC, Not Placed
309,Male, Urban,84.3, ICSE,85.6, ICSE,8.1, Yes, Yes, CS, Placed
310,Male, Rural,89.2, ICSE,89.7, ICSE,8.6, Yes, Yes, ME, Placed
311,Female, Urban,86.5, State Board,94.3, State Board,8.8, Yes, Yes, EE, Placed
312,Female, Rural,79.1, CBSE,92.1, CBSE,7.1, No, No, IS, Not Placed
313,Male, Urban,73.8, State Board,83.2, State Board,8.4, Yes, Yes, CS, Placed
314,Male, Rural,68.9, State Board,80.4, State Board,6.9, No, No, EC, Not Placed
315,Male, Urban,77.3, CBSE,96.2, CBSE,7.8, Yes, Yes, ME, Not Placed
316,Female, Rural,84.7, State Board,86.9, State Board,8.9, Yes, Yes, EE, Placed
